timestamp,iter,BHP,abs_res,jac_source,alpha,dp,elapsed_s
2026-03-29 20:33:44.056,1,101000,25182.5,RefinedAnalytic,1,-5.20714e+10,0.0274499
2026-03-29 20:33:44.085,2,142582,2754.39,RefinedAnalytic,1,41582.4,0.0560133
2026-03-29 20:33:44.130,3,135374,2267.82,FD,0.5,-7208.18,0.101235
2026-03-29 20:33:44.177,4,139103,2256.05,FD,0.25,3728.98,0.148561
2026-03-29 20:33:44.232,5,136230,2243.22,FD,0.0625,-2873.55,0.203659
2026-03-29 20:33:44.286,6,137811,2154.05,FD,0.0625,1581.32,0.257328
2026-03-29 20:33:44.384,7,137979,2150.39,FD,0.00195312,168.183,0.355219
2026-03-29 20:33:44.497,8,149582,4940.6,FD,0.1,11602.7,0.468415
2026-03-29 20:33:44.525,9,137057,2184.01,FD,1,-12524.4,0.495908
2026-03-29 20:33:44.592,10,137682,2157.61,FD,0.015625,624.239,0.563291
2026-03-29 20:33:44.670,11,137962,2150.71,FD,0.00390625,280.67,0.640983
2026-03-29 20:33:44.761,12,149177,4782.58,FD,0.1,11214.2,0.732639
2026-03-29 20:33:44.788,13,136765,2201.75,FD,1,-12411.9,0.759116
2026-03-29 20:33:44.848,14,137799,2154.35,FD,0.03125,1034.63,0.819087
2026-03-29 20:33:44.940,15,137964,2150.67,FD,0.00195312,165.212,0.91133
2026-03-29 20:33:45.051,16,149226,4801.56,FD,0.1,11261.3,1.0224
2026-03-29 20:33:45.080,17,136801,2199.38,FD,1,-12425.1,1.05183
2026-03-29 20:33:45.154,18,137858,2152.93,FD,0.03125,1056.84,1.12572
2026-03-29 20:33:45.251,19,147130,4043.7,FD,0.1,9272.95,1.2228
2026-03-29 20:33:45.280,20,135096,2311.66,FD,1,-12034.4,1.25162
2026-03-29 20:33:45.328,21,138636,2237.35,FD,0.25,3540.14,1.29936
2026-03-29 20:33:45.402,22,136376,2230.71,FD,0.03125,-2260.47,1.37307
2026-03-29 20:33:45.468,23,138065,2226.19,FD,0.0625,1689.22,1.43979
2026-03-29 20:33:45.555,24,136983,2188.18,FD,0.00390625,-1081.75,1.5264
2026-03-29 20:33:45.639,25,137576,2160.99,FD,0.015625,593.069,1.61072
2026-03-29 20:33:45.731,26,137824,2153.74,FD,0.00390625,247.267,1.70252
2026-03-29 20:33:45.833,27,137995,2150.1,FD,0.00195312,171.49,1.80437
2026-03-29 20:33:45.935,28,149991,5103.73,FD,0.1,11995.6,1.90672
2026-03-29 20:33:45.962,29,137343,2170.02,FD,1,-12647.5,1.93355
2026-03-29 20:33:46.042,30,137735,2156.07,FD,0.0078125,391.555,2.01349
